key,locaties,db_veld,categorie,opmerking
Toegiften Brouwers 1 soort,Recept-voorblad!A73,"recipe_ingredients (rol=toegift_brouwerij, volgorde=1).ingredient_id (naam)",ingrediënt-rij,
Toegiften Brouwers 10 Wanneer,Recept-voorblad!I82,"recipe_ingredients (rol=toegift_brouwerij, volgorde=10).tijdstip",ingrediënt-rij,
Toegiften Brouwers 10 hoeveelheid,Recept-voorblad!E82,"recipe_ingredients (rol=toegift_brouwerij, volgorde=10).hoeveelheid",ingrediënt-rij,
Toegiften Brouwers 10 soort,Recept-voorblad!A82,"recipe_ingredients (rol=toegift_brouwerij, volgorde=10).ingredient_id (naam)",ingrediënt-rij,
Toegiften Brouwers 2 Wanneer,Recept-voorblad!I74,"recipe_ingredients (rol=toegift_brouwerij, volgorde=2).tijdstip",ingrediënt-rij,
Toegiften Brouwers 2 hoeveelheid,Recept-voorblad!E74,"recipe_ingredients (rol=toegift_brouwerij, volgorde=2).hoeveelheid",ingrediënt-rij,
Toegiften Brouwers 2 soort,Recept-voorblad!A74,"recipe_ingredients (rol=toegift_brouwerij, volgorde=2).ingredient_id (naam)",ingrediënt-rij,
Toegiften Brouwers 3 Wanneer,Recept-voorblad!I75,"recipe_ingredients (rol=toegift_brouwerij, volgorde=3).tijdstip",ingrediënt-rij,
Toegiften Brouwers 3 hoeveelheid,Recept-voorblad!E75,"recipe_ingredients (rol=toegift_brouwerij, volgorde=3).hoeveelheid",ingrediënt-rij,
Toegiften Brouwers 3 soort,Recept-voorblad!A75,"recipe_ingredients (rol=toegift_brouwerij, volgorde=3).ingredient_id (naam)",ingrediënt-rij,
Toegiften Brouwers 4 Wanneer,Recept-voorblad!I76,"recipe_ingredients (rol=toegift_brouwerij, volgorde=4).tijdstip",ingrediënt-rij,
Toegiften Brouwers 4 hoeveelheid,Recept-voorblad!E76,"recipe_ingredients (rol=toegift_brouwerij, volgorde=4).hoeveelheid",ingrediënt-rij,
Toegiften Brouwers 4 soort,Recept-voorblad!A76,"recipe_ingredients (rol=toegift_brouwerij, volgorde=4).ingredient_id (naam)",ingrediënt-rij,
Toegiften Brouwers 5 Wanneer,Recept-voorblad!I77,"recipe_ingredients (rol=toegift_brouwerij, volgorde=5).tijdstip",ingrediënt-rij,
Toegiften Brouwers 5 hoeveelheid,Recept-voorblad!E77,"recipe_ingredients (rol=toegift_brouwerij, volgorde=5).hoeveelheid",ingrediënt-rij,
Toegiften Brouwers 5 soort,Recept-voorblad!A77,"recipe_ingredients (rol=toegift_brouwerij, volgorde=5).ingredient_id (naam)",ingrediënt-rij,
Toegiften Brouwers 6 Wanneer,Recept-voorblad!I78,"recipe_ingredients (rol=toegift_brouwerij, volgorde=6).tijdstip",ingrediënt-rij,
Toegiften Brouwers 6 hoeveelheid,Recept-voorblad!E78,"recipe_ingredients (rol=toegift_brouwerij, volgorde=6).hoeveelheid",ingrediënt-rij,
Toegiften Brouwers 6 soort,Recept-voorblad!A78,"recipe_ingredients (rol=toegift_brouwerij, volgorde=6).ingredient_id (naam)",ingrediënt-rij,
Toegiften Brouwers 7 Wanneer,Recept-voorblad!I79,"recipe_ingredients (rol=toegift_brouwerij, volgorde=7).tijdstip",ingrediënt-rij,
Toegiften Brouwers 7 hoeveelheid,Recept-voorblad!E79,"recipe_ingredients (rol=toegift_brouwerij, volgorde=7).hoeveelheid",ingrediënt-rij,
Toegiften Brouwers 7 soort,Recept-voorblad!A79,"recipe_ingredients (rol=toegift_brouwerij, volgorde=7).ingredient_id (naam)",ingrediënt-rij,
Toegiften Brouwers 8 Wanneer,Recept-voorblad!I80,"recipe_ingredients (rol=toegift_brouwerij, volgorde=8).tijdstip",ingrediënt-rij,
Toegiften Brouwers 8 hoeveelheid,Recept-voorblad!E80,"recipe_ingredients (rol=toegift_brouwerij, volgorde=8).hoeveelheid",ingrediënt-rij,
Toegiften Brouwers 8 soort,Recept-voorblad!A80,"recipe_ingredients (rol=toegift_brouwerij, volgorde=8).ingredient_id (naam)",ingrediënt-rij,
Toegiften Brouwers 9 Wanneer,Recept-voorblad!I81,"recipe_ingredients (rol=toegift_brouwerij, volgorde=9).tijdstip",ingrediënt-rij,
Toegiften Brouwers 9 hoeveelheid,Recept-voorblad!E81,"recipe_ingredients (rol=toegift_brouwerij, volgorde=9).hoeveelheid",ingrediënt-rij,
Toegiften Brouwers 9 soort,Recept-voorblad!A81,"recipe_ingredients (rol=toegift_brouwerij, volgorde=9).ingredient_id (naam)",ingrediënt-rij,
Toegiften Kelder 1 Wanneer,Recept-voorblad!I89,"recipe_ingredients (rol=toegift_kelder, volgorde=1).tijdstip",ingrediënt-rij,
Toegiften Kelder 1 hoeveelheid,Recept-voorblad!E89,"recipe_ingredients (rol=toegift_kelder, volgorde=1).hoeveelheid",ingrediënt-rij,
Toegiften Kelder 1 soort,Recept-voorblad!A89; Gistkaart Invoer!X10,"recipe_ingredients (rol=toegift_kelder, volgorde=1).ingredient_id (naam)",ingrediënt-rij,
Toegiften Kelder 2 Wanneer,Recept-voorblad!I90,"recipe_ingredients (rol=toegift_kelder, volgorde=2).tijdstip",ingrediënt-rij,
Toegiften Kelder 2 hoeveelheid,Recept-voorblad!E90,"recipe_ingredients (rol=toegift_kelder, volgorde=2).hoeveelheid",ingrediënt-rij,
Toegiften Kelder 2 soort,Recept-voorblad!A90; Gistkaart Invoer!X11,"recipe_ingredients (rol=toegift_kelder, volgorde=2).ingredient_id (naam)",ingrediënt-rij,
Toegiften Kelder 3 Wanneer,Recept-voorblad!I91,"recipe_ingredients (rol=toegift_kelder, volgorde=3).tijdstip",ingrediënt-rij,
Toegiften Kelder 3 hoeveelheid,Recept-voorblad!E91,"recipe_ingredients (rol=toegift_kelder, volgorde=3).hoeveelheid",ingrediënt-rij,
Toegiften Kelder 3 soort,Recept-voorblad!A91; Gistkaart Invoer!X12,"recipe_ingredients (rol=toegift_kelder, volgorde=3).ingredient_id (naam)",ingrediënt-rij,
Toegiften Kelder 4 Wanneer,Recept-voorblad!I92,"recipe_ingredients (rol=toegift_kelder, volgorde=4).tijdstip",ingrediënt-rij,
Toegiften Kelder 4 hoeveelheid,Recept-voorblad!E92,"recipe_ingredients (rol=toegift_kelder, volgorde=4).hoeveelheid",ingrediënt-rij,
Toegiften Kelder 4 soort,Recept-voorblad!A92; Gistkaart Invoer!X13,"recipe_ingredients (rol=toegift_kelder, volgorde=4).ingredient_id (naam)",ingrediënt-rij,
Toegiften Kelder 5 Wanneer,Recept-voorblad!I93,"recipe_ingredients (rol=toegift_kelder, volgorde=5).tijdstip",ingrediënt-rij,
Toegiften Kelder 5 hoeveelheid,Recept-voorblad!E93,"recipe_ingredients (rol=toegift_kelder, volgorde=5).hoeveelheid",ingrediënt-rij,
Toegiften Kelder 5 soort,Recept-voorblad!A93,"recipe_ingredients (rol=toegift_kelder, volgorde=5).ingredient_id (naam)",ingrediënt-rij,
Troebeling (Lab) +/-,Recept-voorblad!L12; Recept-voorblad!L12,recipe_specificaties.troebeling_lab_tol,tolerantie,
"Troebeling (Lab) Spec,",Recept-voorblad!M12; Recept-voorblad!M12,recipe_specificaties.troebeling_lab,spec-waarde,
Troebeling na Sep +/-,Recept-voorblad!L25; Recept-voorblad!L25,recipe_fermentatie.troebeling_na_sep_tol,tolerantie,
"Troebeling na Sep Spec,",Recept-voorblad!M25; Recept-voorblad!M25,recipe_fermentatie.troebeling_na_sep,spec-waarde,
Uitmaischen temp,Brouwen!C29,recipe_brouwspecificaties.mash_uitmaischen_temp,brouwspecificatie,
Uitmaischen tijd,Brouwen!F29,recipe_brouwspecificaties.mash_uitmaischen_tijd,brouwspecificatie,
Vergistingstijd +/-,Recept-voorblad!L21; Recept-voorblad!L21,recipe_fermentatie.vergistingstijd_tol,tolerantie,
"Vergistingstijd Spec,",Recept-voorblad!M21; Recept-voorblad!M21,recipe_fermentatie.vergistingstijd,spec-waarde,
Verwacht extract begin kook,Brouwen!F15,recipe_brouwspecificaties.verwacht_extract_begin_kook,brouwspecificatie,
Volume kook,Brouwen!F16,recipe_brouwspecificaties.volume_kook,brouwspecificatie,
WP / Aantal kamers Mash Filter,Brouwen!I22,recipe_brouwspecificaties.kamers_mashfilter (WP) OF .lauterfactor (Kerk),brouwspecificatie,CONDITIONEEL op vestiging
WP / Cumm. Corp./sparging vol. /  ,Brouwen!F13,"recipe_brouwspecificaties.cumm_sparging_vol (alleen WP, leeg bij Kerk)",brouwspecificatie,
WP / Inline sparge / Zuur [L] / hoeveel&wanneer,Brouwen!M38; Brouwen!M38,recipe_brouwspecificaties.inmaischen_zuur_l / koken_zuur_l / inline_sparge_zuur_l (alleen WP),brouwspecificatie (Automatic dosing),"Niet-WP branch (""hoeveel&wanneer"") is een handgeschreven batch-uitvoeringsveld, geen receptdata - buiten scope"
WP / Inmaischen / Tannines [L] / paraaf,Brouwen!N36; Brouwen!N36,recipe_brouwspecificaties.inmaischen_tannines_l (alleen WP),brouwspecificatie (Automatic dosing),"Niet-WP branch (""paraaf"") is een handtekeningveld voor de operator, geen receptdata - buiten scope"
WP / Inmaischen / Zuur [L] / hoeveel&wanneer,Brouwen!M36; Brouwen!M36,recipe_brouwspecificaties.inmaischen_zuur_l / koken_zuur_l / inline_sparge_zuur_l (alleen WP),brouwspecificatie (Automatic dosing),"Niet-WP branch (""hoeveel&wanneer"") is een handgeschreven batch-uitvoeringsveld, geen receptdata - buiten scope"
WP / Kamers mashfilter / walsenmolen,Recept-voorblad!K9,recipe_brouwspecificaties.kamers_mashfilter (WP) OF .walsenmolen (Kerk),brouwspecificatie,CONDITIONEEL op vestiging
WP / Koken / Tannines [L] / paraaf,Brouwen!N37; Brouwen!N37,recipe_brouwspecificaties.inmaischen_tannines_l (alleen WP),brouwspecificatie (Automatic dosing),"Niet-WP branch (""paraaf"") is een handtekeningveld voor de operator, geen receptdata - buiten scope"
WP / Koken / Zuur [L] / hoeveel&wanneer,Brouwen!M37; Brouwen!M37,recipe_brouwspecificaties.inmaischen_zuur_l / koken_zuur_l / inline_sparge_zuur_l (alleen WP),brouwspecificatie (Automatic dosing),"Niet-WP branch (""hoeveel&wanneer"") is een handgeschreven batch-uitvoeringsveld, geen receptdata - buiten scope"
WP / Maischwater /  ,Brouwen!N10,recipe_brouwspecificaties.maischwater (alleen WP),brouwspecificatie,
WP / Stort special bin kg / Maischwater,Brouwen!F10,recipe_brouwspecificaties.stort_special_bin_kg (WP) OF .maischwater (Kerk),brouwspecificatie,"CONDITIONEEL op vestiging: 1 Excel-cel, 2 mogelijke db-velden afhankelijk van locatie"
WP / Volume water aditie terug koeling,Brouwen!F18,recipe_brouwspecificaties.volume_water_additie_terugkoeling (WP) OF .eindvolume_brouwsel (Kerk),brouwspecificatie,CONDITIONEEL op vestiging
WP / sparging 1e / 1e afloop,Brouwen!N17,recipe_brouwspecificaties.sparging_1e (WP) OF .eerste_afloop (Kerk),brouwspecificatie,CONDITIONEEL op vestiging
WP / sparging 2e / Spoelwater,Brouwen!N18,recipe_brouwspecificaties.sparging_2e (WP) OF .spoelwater (Kerk),brouwspecificatie,CONDITIONEEL op vestiging
WP / sparging 3e / Spoel afloop,Brouwen!N19,recipe_brouwspecificaties.sparging_3e (WP) OF .spoel_afloop (Kerk),brouwspecificatie,CONDITIONEEL op vestiging
WP / sparging 4e,Brouwen!N20,recipe_brouwspecificaties.sparging_4e (WP) OF .totaal_gefiltreerd_volume (Kerk),brouwspecificatie,CONDITIONEEL op vestiging
WP Lekker in de Kauw (Bird) 40(NIET AF),Recept-voorblad!C3,"recipes.naam (dit IS de geselecteerde receptnaam zelf, Q1-cel)",recept-basis,"geen apart veld, dit is de lookup-sleutel zelf"
Whirlpool rust,Brouwen!F22,recipe_brouwspecificaties.whirlpool_rust,brouwspecificatie,
Wortvoorkoeler temp,Brouwen!F17,recipe_brouwspecificaties.wortvoorkoeler_temp,brouwspecificatie,
datum 1,Recept-voorblad!N101,"recipe_revisies (rij 1, meest recent eerst).datum",revisiehistorie,
datum 2,Recept-voorblad!N102,"recipe_revisies (rij 2, meest recent eerst).datum",revisiehistorie,
datum 3,Recept-voorblad!N103,"recipe_revisies (rij 3, meest recent eerst).datum",revisiehistorie,
datum 4,Recept-voorblad!N104,"recipe_revisies (rij 4, meest recent eerst).datum",revisiehistorie,
door 1,Recept-voorblad!P101,"recipe_revisies (rij 1, meest recent eerst).door",revisiehistorie,
door 2,Recept-voorblad!P102,"recipe_revisies (rij 2, meest recent eerst).door",revisiehistorie,
door 3,Recept-voorblad!P103,"recipe_revisies (rij 3, meest recent eerst).door",revisiehistorie,
door 4,Recept-voorblad!P104,"recipe_revisies (rij 4, meest recent eerst).door",revisiehistorie,
gemeten IBU,Recept-voorblad!Q64,,,"TE BEVESTIGEN: staat niet in huidige recipe_specificaties/UI, mogelijk nog niet gemigreerd veld"
pH +/-,Recept-voorblad!E17; Recept-voorblad!E17,recipe_specificaties.ph_tol,tolerantie,
pH Eind Koken,Brouwen!N13,recipe_brouwspecificaties.ph_eind_koken,brouwspecificatie,
pH Maische,Brouwen!N11,recipe_brouwspecificaties.ph_maische,brouwspecificatie,
"pH Spec,",Recept-voorblad!F17; Recept-voorblad!F17,recipe_specificaties.ph,spec-waarde,
pH Start koken,Brouwen!N12,recipe_brouwspecificaties.ph_start_koken,brouwspecificatie,
verhogen 1 temp,Brouwen!C25,recipe_brouwspecificaties.mash_verhogen1_temp,brouwspecificatie,
verhogen 1 tijd,Brouwen!F25,recipe_brouwspecificaties.mash_verhogen1_tijd,brouwspecificatie,
verhogen 2 temp,Brouwen!C26,recipe_brouwspecificaties.mash_verhogen2_temp,brouwspecificatie,
verhogen 2 tijd,Brouwen!F26,recipe_brouwspecificaties.mash_verhogen2_tijd,brouwspecificatie,
verhogen 3 temp,Brouwen!C27,recipe_brouwspecificaties.mash_verhogen3_temp,brouwspecificatie,
verhogen 3 tijd,Brouwen!F27,recipe_brouwspecificaties.mash_verhogen3_tijd,brouwspecificatie,
verhogen 4 temp,Brouwen!C28,recipe_brouwspecificaties.mash_verhogen4_temp,brouwspecificatie,
verhogen 4 tijd,Brouwen!F28,recipe_brouwspecificaties.mash_verhogen4_tijd,brouwspecificatie,
wijziging 1,Recept-voorblad!D101,"recipe_revisies (rij 1, meest recent eerst).wijziging",revisiehistorie,
wijziging 2,Recept-voorblad!D102,"recipe_revisies (rij 2, meest recent eerst).wijziging",revisiehistorie,
wijziging 3,Recept-voorblad!D103,"recipe_revisies (rij 3, meest recent eerst).wijziging",revisiehistorie,
wijziging 4,Recept-voorblad!D104,"recipe_revisies (rij 4, meest recent eerst).wijziging",revisiehistorie,
